repo_id,repo_name,description,stars,contributors,forks,open_issues,license,archived,pushed_at,openrank_2607,openrank_2608,openrank_trend_2508_2607,openrank_trend_2509_2608,participants_2607,language,created_at,topics,landscape_action,landscape_layer,landscape_section,selection_reason,selection_caveat,github_status,trend_signal,trend_signal_reason
965415649,openai/codex,Lightweight coding agent that runs in your terminal,126313,475,19695,18598,Apache-2.0,false,2026-09-24,175.4,80.64,"[251.55,423.95,391.38,407.9,373.89,365.47,468.81,479.16,469.03,457.04,334.43,175.4]","[423.95, 391.38, 407.9, 373.89, 365.47, 468.81, 479.16, 469.03, 457.04, 334.43, 175.4, 80.64]",122,Rust,2025-04-13,,keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，102,090 stars，最近可用 OpenRank 373.91。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
975734319,anomalyco/opencode,The open source coding agent.,209824,456,27713,6210,MIT,false,2026-09-24,157.72,118.02,"[283.25,257.3,263.91,315.9,377.89,729.96,681.2,553.3,468.82,386.73,248.46,157.72]","[257.3, 263.91, 315.9, 377.89, 729.96, 681.2, 553.3, 468.82, 386.73, 248.46, 157.72, 118.02]",97,TypeScript,2025-04-30,,keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，190,463 stars，最近可用 OpenRank 271.45。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
937253475,anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",147919,55,24321,12644,,false,2026-09-24,143.36,76.35,"[677.48,604.1,619.58,558.14,760.1,1059.0,1109.23,1157.77,1069.96,678.34,311.35,143.36]","[604.1, 619.58, 558.14, 760.1, 1059.0, 1109.23, 1157.77, 1069.96, 678.34, 311.35, 143.36, 76.35]",167,TypeScript,2025-02-22,,keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，139,392 stars，最近可用 OpenRank 269.10。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
1008713177,QwenLM/qwen-code,An open-source AI coding agent that lives in your terminal.,28109,420,3102,1480,Apache-2.0,false,2026-09-24,53.69,47.73,"[73.88,73.22,56.87,45.22,49.09,48.48,48.56,51.85,60.28,59.16,55.69,53.69]","[73.22, 56.87, 45.22, 49.09, 48.48, 48.56, 51.85, 60.28, 59.16, 55.69, 53.69, 47.73]",38,TypeScript,2025-06-26,"agentic,ai,ai-agent,ai-coding,cli,coding-agent,developer-tools,llm,mcp,qwen,terminal,typescript",keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，26,393 stars，最近可用 OpenRank 60.25。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
384219990,warpdotdev/warp,"Warp is an agentic development environment, born out of the terminal.",65157,166,5584,5289,AGPL-3.0,false,2026-09-24,53.23,40.12,"[117.66,141.6,124.86,98.01,73.53,63.26,58.45,43.53,59.96,100.54,81.1,53.23]","[141.6, 124.86, 98.01, 73.53, 63.26, 58.45, 43.53, 59.96, 100.54, 81.1, 53.23, 40.12]",37,Rust,2021-07-08,"bash,linux,macos,rust,shell,terminal,wasm,zsh",keep,Agent Infra,Development sandboxes,"把终端、Agent 执行与开发环境整合在一起，更适合作为 Agent Runtime Infra 中的执行环境代表。",产品入口仍与 Agentic coding 有交叉；本图将它放在 Runtime，强调任务执行环境而非独立 coding harness。,ok,,
1035029907,earendil-works/pi,"AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI",109127,287,13871,215,MIT,false,2026-09-24,43.89,35.31,"[null,null,null,7.22,30.51,67.46,72.04,107.01,119.27,111.81,72.68,43.89]","[null, null, 7.22, 30.51, 67.46, 72.04, 107.01, 119.27, 111.81, 72.68, 43.89, 35.31]",18,TypeScript,2025-08-09,,keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，79,543 stars，最近可用 OpenRank 69.59。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
824874689,cline/cline,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.",69219,321,7508,1433,Apache-2.0,false,2026-09-24,36.82,33.51,"[202.45,185.78,165.41,158.38,158.92,136.09,114.0,66.44,43.19,47.64,44.01,36.82]","[185.78, 165.41, 158.38, 158.92, 136.09, 114.0, 66.44, 43.19, 47.64, 44.01, 36.82, 33.51]",66,TypeScript,2024-07-06,,keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，65,129 stars，最近可用 OpenRank 49.31。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
968197216,google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,107145,443,14629,825,Apache-2.0,false,2026-09-24,35.41,27.16,"[542.58,498.43,444.22,421.48,370.75,371.57,385.74,428.49,344.39,232.46,84.58,35.41]","[498.43, 444.22, 421.48, 370.75, 371.57, 385.74, 428.49, 344.39, 232.46, 84.58, 35.41, 27.16]",11,TypeScript,2025-04-17,"ai,ai-agents,cli,gemini,gemini-api,mcp-client,mcp-server",keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，106,219 stars，最近可用 OpenRank 93.64。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
946087422,Kilo-Org/kilocode,"Kilo is the all-in-one agentic engineering platform. Build, ship, and iterate faster with the most popular open source coding agent.",27405,393,3193,612,MIT,false,2026-09-24,33.37,30.79,"[95.43,105.64,104.89,113.88,111.69,110.9,79.87,72.32,71.93,57.72,45.99,33.37]","[105.64, 104.89, 113.88, 111.69, 110.9, 79.87, 72.32, 71.93, 57.72, 45.99, 33.37, 30.79]",23,TypeScript,2025-03-10,"ai,ai-age,ai-coding,ai-developer-tools,chatgpt,claude,cli,gemini,jetbrains,sonnet,vscode,vscode-extension",keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，26,569 stars，最近可用 OpenRank 58.37。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
1216785679,esengine/DeepSeek-Reasonix,DeepSeek-native AI coding agent for your terminal. Engineered around prefix-cache stability — leave it running.,35704,153,2421,1915,MIT,false,2026-09-24,26.06,22.79,"[null,null,null,null,null,null,null,null,1.6,30.86,34.01,26.06]","[null, null, null, null, null, null, null, 1.6, 30.86, 34.01, 26.06, 22.79]",28,Go,2026-04-21,"agent,agent-framework,ai-agent,ai-coding,cli,coding-agent,deepseek,developer-tools,dsh,dsh-plugin,ink,llm,prompt-caching,r1,terminal,tool-use,tui,typescript",add,Agent Infra,Agentic coding,"围绕 DeepSeek 和 prefix-cache 稳定性设计的终端 coding agent；34,916 stars、OpenRank 34.01、7 月参与者 28，体现了独立技术路线。",模型绑定较强，需要观察能否形成多模型或更通用的使用面。,ok,,
846698999,aaif-goose/goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",54612,452,6308,401,Apache-2.0,false,2026-09-24,21.73,27.75,"[161.49,139.34,136.27,120.49,106.37,107.53,109.64,79.36,66.36,52.99,27.7,21.73]","[139.34, 136.27, 120.49, 106.37, 107.53, 109.64, 79.36, 66.36, 52.99, 27.7, 21.73, 27.75]",21,Rust,2024-08-23,"acp,ai,ai-agents,mcp",keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，51,850 stars，最近可用 OpenRank 30.41。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
1246459259,MoonshotAI/kimi-code,Kimi Code CLI  —  The Starting Point for Next-Gen Agents,7659,56,1245,1464,MIT,false,2026-09-24,19.27,27.34,"[null,null,null,null,null,null,null,null,null,12.26,27.5,19.27]","[null, null, null, null, null, null, null, null, 12.26, 27.5, 19.27, 27.34]",13,TypeScript,2026-05-22,,add,Agent Infra,Agentic coding,MoonshotAI 官方新一代 Kimi Code CLI，OpenRank 27.5、7 月参与者 13，具备明确的 coding-agent 产品形态。,与数据集中已有但暂未入图的 MoonshotAI/kimi-cli 存在重叠，需确认长期仓库关系后再决定主图替换。,ok,new,NEW：created_at 2026-05-22；按 2026-08 月度快照口径，创建日期在 2026-05-01 及以后。 5—7 月 OpenRank 12.26 / 27.50 / 19.27。
771302083,OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development,89062,460,11725,875,MIT,false,2026-09-24,11.89,18.23,"[114.93,77.2,64.87,50.69,47.45,46.69,41.49,46.02,40.45,24.1,17.37,11.89]","[77.2, 64.87, 50.69, 47.45, 46.69, 41.49, 46.02, 40.45, 24.1, 17.37, 11.89, 18.23]",18,TypeScript,2024-03-13,"agent,artificial-intelligence,chatgpt,claude-ai,cli,developer-tools,gpt,llm,openai",keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，82,399 stars，最近可用 OpenRank 18.42。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
585860664,github/copilot-cli,GitHub Copilot CLI brings the power of Copilot coding agent directly to your terminal. ,11200,26,1937,2267,NOASSERTION,false,2026-09-23,9.93,17.47,"[null,31.68,58.09,53.02,42.3,63.74,71.58,69.06,59.67,48.84,23.08,9.93]","[31.68, 58.09, 53.02, 42.3, 63.74, 71.58, 69.06, 59.67, 48.84, 23.08, 9.93, 17.47]",7,Shell,2023-01-06,,keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，11,029 stars，最近可用 OpenRank 21.01。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
