repo_id,repo_name,description,stars,contributors,forks,open_issues,license,archived,pushed_at,openrank_2607,openrank_2608,openrank_trend_2508_2607,openrank_trend_2509_2608,participants_2607,language,created_at,topics,landscape_action,landscape_layer,landscape_section,selection_reason,selection_caveat,github_status,trend_signal,trend_signal_reason
71932349,ray-project/ray,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,43915,410,8080,3621,Apache-2.0,false,2026-09-24,71.45,66.47,"[275.21,273.44,270.3,243.95,228.69,205.21,189.76,179.88,167.56,139.69,101.64,71.45]","[273.44, 270.3, 243.95, 228.69, 205.21, 189.76, 179.88, 167.56, 139.69, 101.64, 71.45, 66.47]",42,Python,2016-10-25,"data-science,deep-learning,deployment,distributed,hyperparameter-optimization,hyperparameter-search,large-language-models,llm,llm-inference,llm-serving,machine-learning,optimization,parallel,python,pytorch,ray,reinforcement-learning,rllib,serving,tensorflow",keep,Model Infra,Compute & scheduling,"当前图中的 Compute & scheduling 代表项目；仓库仍在维护，43,374 stars，最近可用 OpenRank 117.28。",保留通用计算和 Kubernetes AI 调度代表，不增加相似控制器。,ok,,
17165658,apache/spark,Apache Spark - A unified analytics engine for large-scale data processing,44036,331,29399,578,Apache-2.0,false,2026-09-24,68.18,58.43,"[193.41,177.0,162.9,166.92,157.89,136.64,141.5,129.54,116.31,94.85,84.69,68.18]","[177.0, 162.9, 166.92, 157.89, 136.64, 141.5, 129.54, 116.31, 94.85, 84.69, 68.18, 58.43]",44,Scala,2014-02-25,"big-data,java,jdbc,python,r,scala,spark,sql",keep,Model Infra,Compute & scheduling,"当前图中的 Compute & scheduling 代表项目；仓库仍在维护，43,716 stars，最近可用 OpenRank 87.87。",保留通用计算和 Kubernetes AI 调度代表，不增加相似控制器。,ok,,
175592968,volcano-sh/volcano,A Cloud Native Batch System (Project under CNCF),5979,329,1548,832,Apache-2.0,false,2026-09-24,9.67,11.01,"[36.71,35.04,25.85,18.66,28.12,29.18,22.7,22.7,21.46,13.32,13.04,9.67]","[35.04, 25.85, 18.66, 28.12, 29.18, 22.7, 22.7, 21.46, 13.32, 13.04, 9.67, 11.01]",12,Go,2019-03-14,"ai,batch-systems,bigdata,gene,golang,hpc,kubernetes,machine-learning,serving,training",keep,Model Infra,Compute & scheduling,"当前图中的 Compute & scheduling 代表项目；仓库仍在维护，5,813 stars，最近可用 OpenRank 15.19。",保留通用计算和 Kubernetes AI 调度代表，不增加相似控制器。,ok,,
178075572,kserve/kserve,"Standardized Distributed Generative and Predictive AI Inference Platform for Scalable, Multi-Framework Deployment on Kubernetes",5996,369,1701,217,Apache-2.0,false,2026-09-24,9.58,18.95,"[20.37,17.93,19.47,19.71,15.86,19.09,21.52,18.8,20.61,21.37,20.09,9.58]","[17.93, 19.47, 19.71, 15.86, 19.09, 21.52, 18.8, 20.61, 21.37, 20.09, 9.58, 18.95]",24,Go,2019-03-27,"artificial-intelligence,cncf,genai,hacktoberfest,istio,k8s,knative,kserve,kubeflow,kubernetes,llm-inference,machine-learning,mlops,model-interpretability,model-serving,pytorch,service-mesh,tensorflow,vllm,xgboost",keep,Model Infra,Compute & scheduling,"当前图中的 Compute & scheduling 代表项目；仓库仍在维护，5,740 stars，最近可用 OpenRank 23.47。",保留通用计算和 Kubernetes AI 调度代表，不增加相似控制器。,ok,,
391740664,open-metadata/OpenMetadata,"The Open Context Layer for Data and AI ,  OpenMetadata is the open platform for building trusted data context and business semantics for humans, AI assistants, and agents.",15319,426,2405,899,Apache-2.0,false,2026-09-24,47.49,54.79,"[113.11,116.57,106.35,98.11,92.51,99.44,91.19,89.11,109.97,83.41,61.78,47.49]","[116.57, 106.35, 98.11, 92.51, 99.44, 91.19, 89.11, 109.97, 83.41, 61.78, 47.49, 54.79]",26,TypeScript,2021-08-01,"context,context-layer,data-catalog,data-collaboration,data-contracts,data-discovery,data-governance,data-lineage,data-observability,data-profiling,data-quality,datadiscovery,dataquality,mcp,mcp-server,metadata,metadata-management,ontologies,ontologies-api,semantics",keep,Model Infra,Data · Governance,"当前图中的 Data · Governance 代表项目；仓库仍在维护，14,587 stars，最近可用 OpenRank 76.75。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。,ok,,
46398090,datahub-project/datahub,The Context Platform for your Data and AI Stack,12757,410,3699,1252,Apache-2.0,false,2026-09-24,38.95,43.59,"[100.54,99.22,91.13,91.59,96.72,96.27,88.47,87.19,80.23,69.79,46.2,38.95]","[99.22, 91.13, 91.59, 96.72, 96.27, 88.47, 87.19, 80.23, 69.79, 46.2, 38.95, 43.59]",23,Python,2015-11-18,"agent-platform,context-management,data-catalog,data-discovery,data-governance,data-observability,datahub,metadata",keep,Model Infra,Data · Governance,"当前图中的 Data · Governance 代表项目；仓库仍在维护，12,365 stars，最近可用 OpenRank 54.73。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。,ok,,
158256479,apache/iceberg,Apache Iceberg,9270,407,3550,924,Apache-2.0,false,2026-09-23,34.89,38.82,"[134.55,137.46,112.48,112.97,102.13,98.82,96.01,89.69,83.35,71.45,53.24,34.89]","[137.46, 112.48, 112.97, 102.13, 98.82, 96.01, 89.69, 83.35, 71.45, 53.24, 34.89, 38.82]",32,Java,2018-11-19,"apache,hacktoberfest,iceberg",keep,Model Infra,Data · Governance,"当前图中的 Data · Governance 代表项目；仓库仍在维护，9,085 stars，最近可用 OpenRank 57.16。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。,ok,,
76474200,apache/hudi,"Upserts, Deletes And Incremental Processing on Big Data.",6273,384,2523,2904,Apache-2.0,false,2026-09-24,24.44,24.15,"[63.92,65.9,59.1,55.19,58.86,58.51,54.84,48.86,43.18,39.23,31.01,24.44]","[65.9, 59.1, 55.19, 58.86, 58.51, 54.84, 48.86, 43.18, 39.23, 31.01, 24.44, 24.15]",22,Java,2016-12-14,"apacheflink,apachehudi,apachespark,bigdata,data-integration,datalake,hudi,incremental-processing,stream-processing",keep,Model Infra,Data · Governance,"当前图中的 Data · Governance 代表项目；仓库仍在维护，6,197 stars，最近可用 OpenRank 38.83。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。,ok,,
631431061,apache/gravitino,"World's most powerful open data catalog for building a high-performance, geo-distributed and federated metadata lake.",3238,343,943,1103,Apache-2.0,false,2026-09-24,22.03,21.93,"[90.47,76.23,61.49,64.26,54.9,47.46,44.34,44.66,37.95,31.45,32.76,22.03]","[76.23, 61.49, 64.26, 54.9, 47.46, 44.34, 44.66, 37.95, 31.45, 32.76, 22.03, 21.93]",13,Java,2023-04-23,"ai-catalog,data-catalog,datalake,federated-query,lakehouse,metadata,metalake,model-catalog,opendatacatalog,skycomputing,stratosphere",keep,Model Infra,Data · Governance,"当前图中的 Data · Governance 代表项目；仓库仍在维护，3,136 stars，最近可用 OpenRank 40.68。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。,ok,,
447060287,apache/paimon,Apache Paimon is a lake format that enables building a Realtime Lakehouse Architecture with Flink and Spark for both streaming and batch operations.,3407,390,1403,750,Apache-2.0,false,2026-09-24,16.38,23.32,"[62.18,57.31,49.55,48.58,50.77,46.53,38.1,34.23,25.2,25.08,15.64,16.38]","[57.31, 49.55, 48.58, 50.77, 46.53, 38.1, 34.23, 25.2, 25.08, 15.64, 16.38, 23.32]",5,Java,2022-01-12,"big-data,data-ingestion,flink,paimon,real-time-analytics,spark,streaming-datalake,table-store",keep,Model Infra,Data · Governance,"当前图中的 Data · Governance 代表项目；仓库仍在维护，3,353 stars，最近可用 OpenRank 18.40。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。,ok,,
182849188,delta-io/delta,"An open-source storage framework that enables building a Lakehouse architecture with compute engines including Spark, PrestoDB, Flink, Trino, and Hive and APIs",9021,390,2183,976,Apache-2.0,false,2026-09-24,15.67,27.06,"[61.79,59.29,46.89,44.16,50.32,49.74,43.05,34.88,35.05,35.16,31.22,15.67]","[59.29, 46.89, 44.16, 50.32, 49.74, 43.05, 34.88, 35.05, 35.16, 31.22, 15.67, 27.06]",13,Scala,2019-04-22,"acid,analytics,big-data,delta-lake,spark",keep,Model Infra,Data · Governance,"当前图中的 Data · Governance 代表项目；仓库仍在维护，8,925 stars，最近可用 OpenRank 35.05。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。,ok,,
33884891,apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",46961,410,17911,2078,Apache-2.0,false,2026-09-24,98.32,81.24,"[334.33,327.95,299.72,261.63,253.36,262.28,271.61,241.59,214.56,168.07,127.22,98.32]","[327.95, 299.72, 261.63, 253.36, 262.28, 271.61, 241.59, 214.56, 168.07, 127.22, 98.32, 81.24]",60,Python,2015-04-13,"airflow,apache,apache-airflow,automation,dag,data-engineering,data-integration,data-orchestrator,data-pipelines,data-science,elt,etl,machine-learning,mlops,orchestration,python,scheduler,workflow,workflow-engine,workflow-orchestration",keep,Model Infra,Data · Integration,"当前图中的 Data · Integration 代表项目；仓库仍在维护，46,289 stars，最近可用 OpenRank 144.80。",只放与 AI 数据准备直接相关的代表项目，避免扩张成通用数据工程图。,ok,,
826168160,docling-project/docling,Get your documents ready for gen AI,67831,321,4917,926,MIT,false,2026-09-24,40.22,23.99,"[64.23,72.55,80.54,74.66,59.27,48.57,41.62,52.4,59.36,55.5,84.04,40.22]","[72.55, 80.54, 74.66, 59.27, 48.57, 41.62, 52.4, 59.36, 55.5, 84.04, 40.22, 23.99]",14,Python,2024-07-09,"ai,convert,document-parser,document-parsing,documents,docx,html,markdown,pdf,pdf-converter,pdf-to-json,pdf-to-text,pptx,tables,xlsx",add,Model Infra,Data · Integration,文档解析和结构化已经成为 RAG 与 agent 数据准备的常见入口，当前 63k+ stars、最近可用 OpenRank 66.74。,它代表文档数据准备，不是通用 ETL；Data · Integration 区控制在三个项目。,ok,,
283046497,airbytehq/airbyte,"Open-source data movement for ELT pipelines and AI agents — from APIs, databases & files to warehouses, lakes, and AI applications. Both self-hosted and Cloud.",22133,378,5360,2498,NOASSERTION,false,2026-09-24,20.61,22.3,"[148.09,138.4,121.97,107.79,86.83,86.97,69.26,69.02,65.19,52.69,33.66,20.61]","[138.4, 121.97, 107.79, 86.83, 86.97, 69.26, 69.02, 65.19, 52.69, 33.66, 20.61, 22.3]",38,Python,2020-07-27,"bigquery,change-data-capture,data,data-analysis,data-collection,data-engineering,data-integration,data-pipeline,elt,etl,java,mssql,mysql,pipeline,postgresql,python,redshift,s3,self-hosted,snowflake",keep,Model Infra,Data · Integration,"当前图中的 Data · Integration 代表项目；仓库仍在维护，21,723 stars，最近可用 OpenRank 43.07。",只放与 AI 数据准备直接相关的代表项目，避免扩张成通用数据工程图。,ok,,
