repo_id,repo_name,description,stars,contributors,forks,open_issues,license,archived,pushed_at,openrank_2607,openrank_2608,openrank_trend_2508_2607,openrank_trend_2509_2608,participants_2607,language,created_at,topics,landscape_action,landscape_layer,landscape_section,selection_reason,selection_caveat,github_status,trend_signal,trend_signal_reason
1103012935,openclaw/openclaw,The AI that really does things. Any OS. Any Platform. The lobster way. 🦞 ,390374,377,82130,8517,NOASSERTION,false,2026-09-24,462.71,303.24,"[null,null,null,0.92,10.91,497.55,1693.69,1871.65,1499.86,880.67,592.19,462.71]","[null, null, 0.92, 10.91, 497.55, 1693.69, 1871.65, 1499.86, 880.67, 592.19, 462.71, 303.24]",281,TypeScript,2025-11-24,"ai,assistant,crustacean,molty,openclaw,own-your-data,personal",keep,Agent Infra,Personal AI assistants,"当前图中的 Personal AI assistants 代表项目；仓库仍在维护，384,408 stars，最近可用 OpenRank 631.92。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。,ok,,
626805178,langgenius/dify,"Build Agentic workflows, RAG pipelines, with rich AI model and tool support on one collaborative workspace. Deploy on cloud, VPC, or self-hosted, so teams move from prototype to production without rebuilding the stack.",157081,454,24760,1101,NOASSERTION,false,2026-09-24,53.65,49.17,"[387.79,385.95,326.28,286.14,287.31,266.36,217.58,197.49,145.19,104.87,77.64,53.65]","[385.95, 326.28, 286.14, 287.31, 266.36, 217.58, 197.49, 145.19, 104.87, 77.64, 53.65, 49.17]",39,TypeScript,2023-04-12,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,claude,deepseek,genai,gpt,llm,low-code,mcp,nextjs,no-code,openai,python,skills,workflow",keep,Agent Infra,Workflow & agent builders,"当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，150,556 stars，最近可用 OpenRank 85.63。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。,ok,,
975734319,anomalyco/opencode,The open source coding agent.,209824,456,27713,6210,MIT,false,2026-09-24,157.72,118.02,"[283.25,257.3,263.91,315.9,377.89,729.96,681.2,553.3,468.82,386.73,248.46,157.72]","[257.3, 263.91, 315.9, 377.89, 729.96, 681.2, 553.3, 468.82, 386.73, 248.46, 157.72, 118.02]",97,TypeScript,2025-04-30,,keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，190,463 stars，最近可用 OpenRank 271.45。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
965415649,openai/codex,Lightweight coding agent that runs in your terminal,126313,475,19695,18598,Apache-2.0,false,2026-09-24,175.4,80.64,"[251.55,423.95,391.38,407.9,373.89,365.47,468.81,479.16,469.03,457.04,334.43,175.4]","[423.95, 391.38, 407.9, 373.89, 365.47, 468.81, 479.16, 469.03, 457.04, 334.43, 175.4, 80.64]",122,Rust,2025-04-13,,keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，102,090 stars，最近可用 OpenRank 373.91。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
968197216,google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,107145,443,14629,825,Apache-2.0,false,2026-09-24,35.41,27.16,"[542.58,498.43,444.22,421.48,370.75,371.57,385.74,428.49,344.39,232.46,84.58,35.41]","[498.43, 444.22, 421.48, 370.75, 371.57, 385.74, 428.49, 344.39, 232.46, 84.58, 35.41, 27.16]",11,TypeScript,2025-04-17,"ai,ai-agents,cli,gemini,gemini-api,mcp-client,mcp-server",keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，106,219 stars，最近可用 OpenRank 93.64。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
193215554,n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",205856,428,60872,1154,NOASSERTION,false,2026-09-24,82.05,84.38,"[328.31,329.51,306.99,299.67,295.84,285.89,254.98,229.22,209.75,190.55,131.52,82.05]","[329.51, 306.99, 299.67, 295.84, 285.89, 254.98, 229.22, 209.75, 190.55, 131.52, 82.05, 84.38]",51,TypeScript,2019-06-22,"ai,apis,automation,cli,data-flow,development,integration-framework,integrations,ipaas,low-code,low-code-platform,mcp,mcp-client,mcp-server,n8n,no-code,self-hosted,typescript,workflow,workflow-automation",keep,Agent Infra,Workflow & agent builders,"当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，198,383 stars，最近可用 OpenRank 156.06。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。,ok,,
671269505,BerriAI/litellm,"The fastest, litest AI Gateway. Rust core with Python SDK. Call 100+ LLM APIs in OpenAI (or native) format with cost tracking, guardrails, load balancing, and logging [Bedrock, Azure, OpenAI, Anthropic, OpenAI, VertexAI, vLLM, Nvidia NIM]",59551,374,11741,5240,NOASSERTION,false,2026-09-24,92.22,71.18,"[321.12,312.79,288.67,257.21,255.62,259.11,277.86,244.03,183.69,141.15,111.17,92.22]","[312.79, 288.67, 257.21, 255.62, 259.11, 277.86, 244.03, 183.69, 141.15, 111.17, 92.22, 71.18]",121,Python,2023-07-27,"ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,rust,rust-ai,vertex-ai",keep,Model Infra,Model API gateways,"当前图中的 Model API gateways 代表项目；仓库仍在维护，54,916 stars，最近可用 OpenRank 113.81。",需要区分 model API、MCP gateway 和 agentic proxy，避免把所有代理工具放在一起。,ok,,
1061953414,anthropics/skills,Public repository for Agent Skills,177924,15,21078,1284,,false,2026-09-22,,7.05,"[null,null,6.01,7.29,8.21,13.65,15.76,14.27,16.12,9.92,5.13,null]","[null, 6.01, 7.29, 8.21, 13.65, 15.76, 14.27, 16.12, 9.92, 5.13, null, 7.05]",6,Python,2025-09-22,agent-skills,keep,Agent Infra,Protocols & interoperability,"当前图中的 Protocols & interoperability 代表项目；仓库仍在维护，164,751 stars，最近可用 OpenRank 4.95。",协议成熟度差异较大，preview 或规范状态需要在图上明确。,ok,,
890668799,modelcontextprotocol/servers,Model Context Protocol Servers,90575,427,11689,552,NOASSERTION,false,2026-09-22,8.13,6.11,"[66.04,48.42,34.35,30.6,19.34,16.12,14.73,17.78,19.79,13.22,8.62,8.13]","[48.42, 34.35, 30.6, 19.34, 16.12, 14.73, 17.78, 19.79, 13.22, 8.62, 8.13, 6.11]",15,TypeScript,2024-11-19,,keep,Agent Infra,Protocols & interoperability,"当前图中的 Protocols & interoperability 代表项目；仓库仍在维护，88,989 stars，最近可用 OpenRank 7.99。",协议成熟度差异较大，preview 或规范状态需要在图上明确。,ok,,
881458615,browser-use/browser-use,Agents that use the browser.,116169,361,12791,491,MIT,false,2026-09-24,5.4,9.63,"[98.41,94.44,70.85,61.76,53.3,42.84,37.69,31.22,20.23,15.16,12.74,5.4]","[94.44, 70.85, 61.76, 53.3, 42.84, 37.69, 31.22, 20.23, 15.16, 12.74, 5.4, 9.63]",15,Python,2024-10-31,"ai-agents,ai-tools,browser-automation,browser-use,llm,playwright,python",keep,Agent Infra,"Tools, web & computer use","当前图中的 Tool & browser use 代表项目；仓库仍在维护，107,103 stars，最近可用 OpenRank 9.58。",browser/computer-use 项目迭代很快，需要按可复现能力和维护状态复核。,ok,,
